Título,Evento,Institución anfitriona,País (Anfitrión),Institución organizadora,País (Organizador),Fecha,Tipo,Online,URL
Anglocentrism in emotion science: epistemological and practical challenges,Symposium 'Philosophy of Emotions in Latin America' – 1st Annual Web Conference of the International Society for the Philosophy of the Sciences of the Mind,,,International Society for the Philosophy of the Sciences of the Mind,,2023-12-05,Ponencia,true,https://www.ispsmind.com/international-conference/
Conceptos cotidianos de emoción y  socioconstruccionismo externalista,VII Congreso de la Asociación Latinoamericana de Filosofía Analítica,"Universidad de la República, Asociación Latinoamericana de Filosofía Analítica","Uruguay, ",Asociación Latinoamericana de Filosofía Analítica,,2024-05-01,Ponencia,false,
Cómo (no) estudiar conceptos cotidianos de emoción,X Coloquio de Lenguaje y Cognición,Universidad de Concepción,Chile,,,2024-06-01,Ponencia,false,
Universalismo y relativismo sobre las emociones: un falso dilema,IX Congreso Colombiano de Filosofía,Universidad Pedagógica y Tecnológica de Colombia,Colombia,Sociedad Colombiana de Filosofía,Colombia,2024-09-01,Ponencia,false,
Conceptos cotidianos de emoción y externalismo semántico,IX Congreso Colombiano de Filosofía,"Universidad Pedagógica y Tecnológica de Colombia, Sociedad Colombiana de Filosofía","Colombia, Colombia",Sociedad Colombiana de Filosofía,Colombia,2024-09-01,Ponencia,false,
Emociones y variación cultural: la teoría del standpoint contra el relativismo,Workshop em Filosofia das Emoções,Universidade Federal de Lavras,Brasil,,,2024-11-01,Charla invitada,true,
Dificultades culturales en las ciencias de las emociones,"Workshop: Ciencia, Sociedad y Valores",Universidad Alberto Hurtado,Chile,,,2024-11-01,Ponencia,false,
Emociones y el problema de la variabilidad,Workshop: Neuroscience & Pseudo-Neuroscience,Pontificia Universidad Católica de Chile,Chile,,,2024-11-01,Ponencia,false,
Social Constructionism and Emotions: Is there really any constructionist?,Workshop: Perspectives on Affectivity,Sociedad Argentina de Análisis Filosófico,Argentina,Sociedad Argentina de Análisis Filosófico,Argentina,2025-03-01,Ponencia,true,
Objetividad en la ciencia de la emoción,I Congreso Latinoamericano de Estudios Afectivos,"Faculdade Jesuíta de Filosofia e Teologia, Red Latinoamericana de Estudios Afectivos","Brasil, ",Red Latinoamericana de Estudios Afectivos,,2025-08-01,Charla invitada,false,
"La ontología, epistemología y política de la ciencia de la emoción",Ciclo de Conferencias en Filosofía de la Mente,Universidad del Valle,Colombia,,,2025-09-01,Charla invitada,true,
"Orgullo, vicios epistémicos y controversias científicas: cómo se crea desconfianza en la ciencia",V Conferencia Internacional en Comunicación y Tecnologías Aplicadas (ICOMTA) 2025,Universidad Austral de Chile,Chile,,,2025-09-01,Ponencia,false,
Dos clases de relativismo sobre las emociones,Workshop: Emociones en la antigüedad y la actualidad,"Universidad San Sebastián, Universidad Alberto Hurtado","Chile, Chile",,,2025-10-01,Ponencia,false,
Engaño o (des)motivación: factores del uso indebido de IAG en clase,Semana de la IA,Universidad Alberto Hurtado,Chile,,,2025-12-01,Charla invitada,false,
"Construccionismo social, neurociencia cultural y neurociencia afectiva: tres programas en tensión",I Congreso Internacional de la Sociedad Chilena de Filosofía de la Ciencia,"Universidad de Valparaíso, Sociedad Chilena de Filosofía de la Ciencia","Chile, Chile",Sociedad Chilena de Filosofía de la Ciencia,Chile,2026-01-14,Ponencia,false,
"¿Son las emociones universales? Cerebro, afectividad y cultura",,Pontificia Universidad Javeriana,Colombia,,,2026-02-25,Charla invitada,false,
Desacuerdos profundos en la ciencia de la emoción,,Universidad del Rosario,Colombia,,,2026-02-26,Charla invitada,false,
Emociones básicas y el lenguaje de la emoción,,Universidad de los Andes,Colombia,,,2026-02-27,Charla invitada,false,
Historia de la Filosofía en Colombia a partir de Modelado de Tópicos,Primer Seminario de Humanidades Digitales,Pontificia Universidad Católica de Chile,Chile,,,2026-04-09,Poster,false,
Evidencia lingüística en ciencia de la emoción,XII Coloquio de Lenguaje y Cognición,Universidad de Concepción,Chile,,,2026-04-23,Ponencia,false,
"Ontological choices in affective science ","Workshop: Scientific Pluralism, Ontology, and Values",Universidad Alberto Hurtado,Chile,,,2026-05-11,Ponencia,false,
